# index, id, class, gender, _pos
0,600,PC,F,"array([-3.59273279,  7.38636775])"
1,601,PC,M,"array([-3.60688552,  7.40640439])"
2,602,MP*2,M,"array([-3.78766425,  7.63506069])"
3,603,MP*2,M,"array([-3.80940933,  7.55698836])"
4,605,MP*2,M,"array([-3.73035119,  7.53279835])"
5,606,MP*2,F,"array([-3.70692625,  7.51889868])"
6,607,PC,M,"array([-3.61503408,  7.56304095])"
7,609,PC,M,"array([-3.55078991,  7.41604725])"
8,610,PC,M,"array([-3.56600752,  7.4391232 ])"
9,611,MP*2,M,"array([-3.76117937,  7.52162933])"
10,612,MP*2,M,"array([-3.84358506,  7.59902463])"
11,613,PC,M,"array([-3.57481028,  7.41544221])"
12,614,MP*2,F,"array([-3.95162301,  7.65480111])"
13,615,MP*2,F,"array([-3.72322128,  7.48526869])"
14,616,PC,M,"array([-3.63209894,  7.46670615])"
15,617,MP*2,M,"array([-3.92057022,  7.61465471])"
16,618,PC,F,"array([-3.54714829,  7.55840084])"
17,619,MP*2,M,"array([-3.78712509,  7.46016508])"
18,620,MP*2,M,"array([-3.81134049,  7.53141909])"
19,621,MP*2,M,"array([-3.74924914,  7.49701589])"
20,622,MP*2,M,"array([-3.76303336,  7.67375392])"
21,623,PC,F,"array([-3.63569694,  7.42290272])"
22,624,PC,M,"array([-3.50878025,  7.53425564])"
23,626,PC,M,"array([-3.58962944,  7.54587732])"
24,627,PC,F,"array([-3.52308506,  7.44982186])"
25,628,PC,F,"array([-3.60157359,  7.4804194 ])"
26,629,MP*2,M,"array([-3.87837285,  7.36520704])"
27,633,PC,M,"array([-3.66456681,  7.41026228])"
28,634,PSI*,M,"array([-3.61700146,  7.31241394])"
29,635,PC,F,"array([-3.54609885,  7.44923566])"
30,636,PC,M,"array([-3.62101363,  7.39065807])"
31,638,MP*2,M,"array([-3.71139938,  7.55705628])"
32,641,MP*2,M,"array([-3.77293274,  7.49229293])"
33,643,PC,F,"array([-3.51040007,  7.42201816])"
34,644,PC,F,"array([-3.55891104,  7.5123634 ])"
35,646,MP*2,M,"array([-3.80592155,  7.48141276])"
36,647,MP*2,F,"array([-4.08010799,  7.63446253])"
37,648,PC,M,"array([-3.55267833,  7.47092953])"
38,649,MP*2,M,"array([-3.77028265,  7.43662289])"
39,650,MP*2,M,"array([-3.86891815,  7.56778081])"
40,651,PC,M,"array([-3.65997085,  7.49218939])"
41,652,PC,M,"array([-3.50876188,  7.50005272])"
42,654,PC,M,"array([-3.61930284,  7.43242661])"
43,655,MP*2,M,"array([-3.82996641,  7.37344602])"
44,656,PC,M,"array([-3.53464288,  7.49391728])"
45,658,PC,M,"array([-3.5612758 ,  7.39674167])"
46,660,PC,M,"array([-3.58894922,  7.44133428])"
47,661,PC,M,"array([-3.59036097,  7.46302886])"
48,662,MP*2,M,"array([-3.75310843,  7.58858844])"
49,663,PC,F,"array([-3.64020449,  7.48793976])"
50,664,PSI*,F,"array([-3.75149572,  7.19574237])"
51,665,MP*2,F,"array([-3.75227339,  7.62327585])"
52,666,PC,M,"array([-3.57634356,  7.49682788])"
53,667,PC,F,"array([-3.58690943,  7.5156975 ])"
54,668,MP*2,F,"array([-3.89517091,  7.55425307])"
55,669,MP*2,M,"array([-3.82615157,  7.50342067])"
56,674,MP*2,M,"array([-3.84400699,  7.55175841])"
57,676,PSI*,M,"array([-3.72455822,  7.17889911])"
58,677,MP*2,M,"array([-3.82867503,  7.57667725])"
59,678,MP*2,M,"array([-3.82964385,  7.61981607])"
60,681,PC,F,"array([-3.6128102 ,  7.44788481])"
61,682,PC,M,"array([-3.56964358,  7.47131589])"
62,683,PC,F,"array([-3.61218831,  7.46646894])"
63,684,MP*2,M,"array([-3.78782789,  7.50097499])"
64,685,MP*2,F,"array([-3.78691046,  7.52823956])"
65,686,PC,F,"array([-3.64142307,  7.52559801])"
66,687,MP*2,F,"array([-3.78960566,  7.58292693])"
67,689,MP*2,M,"array([-3.7416145 ,  7.46045539])"
68,690,PC,M,"array([-3.54270571,  7.39770083])"
69,691,MP*2,M,"array([-3.78185792,  7.5551629 ])"
70,692,PC,M,"array([-3.64122724,  7.44760424])"
71,694,PC,F,"array([-3.5962632 ,  7.42591065])"
72,695,MP*2,M,"array([-3.75243189,  7.55698341])"
73,696,PC,F,"array([-3.62977148,  7.50716652])"
74,698,PC,M,"array([-3.60442487,  7.50376801])"
75,699,MP*2,M,"array([-3.76642404,  7.46569899])"
76,802,PSI*,M,"array([-3.7313551 ,  7.08881445])"
77,803,PC*,F,"array([-3.56353166,  7.35956622])"
78,804,PC*,M,"array([-3.57888132,  7.33728938])"
79,806,PC*,M,"array([-3.57056031,  7.21595513])"
80,807,PC*,M,"array([-3.51341431,  7.31689168])"
81,809,PC*,M,"array([-3.54455453,  7.24495377])"
82,810,PSI*,M,"array([-3.67685213,  7.24891666])"
83,812,PC*,M,"array([-3.51046016,  7.22552069])"
84,813,PSI*,F,"array([-3.68171302,  7.27783431])"
85,814,PC*,F,"array([-3.4365094 ,  7.22267936])"
86,815,PC*,M,"array([-3.51365399,  7.345552  ])"
87,817,PC*,F,"array([-3.48060854,  7.44820621])"
88,819,PC*,F,"array([-3.49427433,  7.25988645])"
89,821,PC*,M,"array([-3.45459532,  7.34500796])"
90,822,PC*,F,"array([-3.53966297,  7.20051353])"
91,823,PC*,M,"array([-3.43024591,  7.40648958])"
92,824,PC*,F,"array([-3.50640709,  7.37692752])"
93,825,PSI*,M,"array([-3.7870842 ,  7.35602818])"
94,826,PSI*,M,"array([-3.7600465 ,  7.38651173])"
95,827,PSI*,M,"array([-3.70471075,  7.37344351])"
96,828,PSI*,M,"array([-3.69283124,  7.32979225])"
97,829,PSI*,M,"array([-3.84926939,  7.0807763 ])"
98,830,PSI*,M,"array([-3.73824846,  7.30239478])"
99,831,PSI*,M,"array([-3.64371432,  7.26438696])"
100,832,PSI*,M,"array([-3.72657187,  7.35011208])"
101,833,PSI*,M,"array([-3.81593037,  7.31766799])"
102,834,PSI*,M,"array([-3.70421777,  7.3497253 ])"
103,836,PSI*,M,"array([-3.71191312,  7.29649227])"
104,838,PSI*,F,"array([-3.68549053,  7.36049498])"
105,841,PSI*,F,"array([-3.73064124,  7.37647372])"
106,843,PSI*,M,"array([-3.70888181,  7.24937104])"
107,845,PSI*,F,"array([-3.85105757,  7.29396785])"
108,847,PC*,F,"array([-3.50500125,  7.47446771])"
109,848,PSI*,M,"array([-3.80177697,  7.28356902])"
110,849,PC*,F,"array([-3.53988473,  7.33972176])"
111,851,PSI*,M,"array([-3.71105763,  7.27673402])"
112,852,PSI*,F,"array([-3.71712875,  7.32372115])"
113,853,PSI*,F,"array([-3.69296966,  7.30672606])"
114,854,PSI*,F,"array([-3.66299886,  7.33033242])"
115,855,PSI*,F,"array([-3.73534122,  7.26364613])"
116,856,PSI*,M,"array([-3.85313376,  7.16972718])"
117,857,PSI*,M,"array([-3.78602749,  7.29936669])"
118,858,PSI*,M,"array([-3.64091945,  7.3617314 ])"
119,860,PSI*,M,"array([-3.67342787,  7.30609275])"
120,862,PSI*,F,"array([-3.76619508,  7.32846079])"
121,863,PSI*,F,"array([-3.73956383,  7.32639318])"
122,864,PSI*,M,"array([-3.65200254,  7.284274  ])"
123,865,PSI*,M,"array([-3.64737601,  7.16008571])"
124,866,PSI*,M,"array([-3.61272062,  7.33955426])"
125,867,PSI*,M,"array([-3.72468154,  7.21215063])"
126,868,PSI*,M,"array([-3.67921276,  7.22394514])"
127,869,PSI*,M,"array([-3.64276374,  7.31360218])"
128,871,PSI*,M,"array([-3.63594736,  7.33959835])"
129,873,PSI*,F,"array([-3.70258233,  7.20175803])"
130,875,PC*,M,"array([-3.38450664,  7.22183241])"
131,880,PC*,M,"array([-3.5347956 ,  7.27858975])"
132,881,PC*,M,"array([-3.44469401,  7.17601639])"
133,882,PC*,M,"array([-3.37620794,  7.299782  ])"
134,883,PC*,M,"array([-3.36853983,  7.35831973])"
135,884,PC*,M,"array([-3.59486519,  7.29148155])"
136,886,PC*,M,"array([-3.40662812,  7.31750891])"
137,887,PC*,M,"array([-3.56683861,  7.28847255])"
138,888,PC*,M,"array([-3.44748071,  7.26927604])"
139,889,PC*,M,"array([-3.46919816,  7.29681188])"
140,890,PC*,M,"array([-3.40776327,  7.27071407])"
141,891,PC*,M,"array([-3.48585685,  7.36315349])"
142,892,PC*,M,"array([-3.57197008,  7.2544798 ])"
143,893,PC*,M,"array([-3.56900104,  7.30969442])"
144,894,PC*,M,"array([-3.46473839,  7.39881454])"
145,895,PC*,F,"array([-3.46610163,  7.22642285])"
146,896,PC*,M,"array([-3.53965711,  7.30636635])"
147,897,PC*,M,"array([-3.4980976 ,  7.19701855])"
148,898,PC*,M,"array([-3.48170991,  7.32723183])"
149,1108,MP*1,M,"array([-3.92375223,  7.46489313])"
150,1144,MP*1,F,"array([-3.89266655,  7.49091933])"
151,1148,MP*1,M,"array([-3.91506982,  7.49686967])"
152,1164,MP*1,M,"array([-3.84996404,  7.45991452])"
153,1170,MP*1,M,"array([-3.8784789 ,  7.39316434])"
154,1181,MP*1,M,"array([-3.80687157,  7.42840666])"
155,1190,MP*1,M,"array([-3.86455791,  7.49397472])"
156,1492,MP*1,M,"array([-3.88892962,  7.42592616])"
157,1601,MP*1,M,"array([-3.95621199,  7.46399352])"
158,1613,MP*1,M,"array([-3.89258254,  7.41103965])"
159,1618,MP*1,M,"array([-4.006903  ,  7.39980272])"
160,1622,MP*1,M,"array([-3.82418757,  7.42127661])"
161,1628,MP*1,M,"array([-3.97359365,  7.40446767])"
162,1629,MP*1,M,"array([-3.96342245,  7.44005952])"
163,1632,MP*1,M,"array([-3.87804962,  7.44889506])"
164,1644,MP*1,M,"array([-3.90188153,  7.46004764])"
165,1645,MP*1,M,"array([-3.83660636,  7.43026309])"
166,1649,MP*1,F,"array([-3.85040103,  7.52834166])"
167,1651,MP*1,M,"array([-3.82329476,  7.46430088])"
168,1657,MP*1,M,"array([-3.83725551,  7.44494536])"
169,1658,MP*1,M,"array([-3.84168882,  7.49001085])"
170,1660,MP*1,F,"array([-3.95266184,  7.5435666 ])"
171,1662,MP*1,F,"array([-3.8879439 ,  7.51792425])"
172,1667,MP*1,M,"array([-3.93616279,  7.43999457])"
173,1671,MP*1,M,"array([-3.86236011,  7.43203877])"
174,1672,MP*1,M,"array([-3.86889835,  7.41012825])"
175,1674,MP*1,M,"array([-3.8134083 ,  7.44738776])"
176,1678,MP*1,M,"array([-3.83556243,  7.40412352])"
177,1679,MP*1,M,"array([-3.94855283,  7.5084413 ])"
178,1686,MP*1,M,"array([-3.87406264,  7.47730904])"
179,1856,MP*1,M,"array([-3.92725943,  7.4180984 ])"
